Gss year for this respondent                       ,Respondent income in constant dollars,Happiness of marriage,General happiness,Any opp. race in neighborhood,Political party affiliation,Number of persons in household,Race of respondent,"Highest year school completed, spouse",Highest year of school completed,Number of children,Number of brothers and sisters,Spouse labor force status,Marital status,Number of hours worked last week,Respondent id number,Ballot used for interview
1977,14761,Very happy,Not too happy,No,Independent,6,White,11,11,1,4,Keeping house,Married,44,804,Not applicable
1977,30193,Pretty happy,Not too happy,Yes,Independent,3,White,15,18,1,4,Working fulltime,Married,30,805,Not applicable
1977,30193,Pretty happy,Pretty happy,Yes,Independent,3,White,12,13,1,1,Keeping house,Married,43,806,Not applicable
1977,50322,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,16,2,1,Not applicable,Separated,40,807,Not applicable
1977,30193,Very happy,Pretty happy,Not applicable,Not str democrat,3,Black,12,12,0,6,Working fulltime,Married,38,808,Not applicable
1977,0,Not applicable,Pretty happy,Not applicable,Not str democrat,3,Black,Not applicable,13,0,3,Not applicable,Never married,Not applicable,809,Not applicable
1977,0,Pretty happy,Not too happy,Not applicable,Not str democrat,2,Black,7,2,0,2,Keeping house,Married,Not applicable,810,Not applicable
1977,0,Very happy,Pretty happy,Not applicable,Independent,3,Black,14,12,1,5,Working fulltime,Married,Not applicable,811,Not applicable
1977,0,Not applicable,Pretty happy,Not applicable,Strong democrat,1,Black,Not applicable,12,1,6,Not applicable,Never married,40,812,Not applicable
1977,0,Pretty happy,Pretty happy,No,Strong democrat,2,White,7,7,0,7,Keeping house,Married,Not applicable,813,Not applicable
1977,0,Very happy,Pretty happy,No,Not str democrat,4,White,8,12,5,2,Working fulltime,Married,Not applicable,814,Not applicable
1977,14761,Very happy,Pretty happy,No,Not str democrat,2,White,12,12,0,1,Working fulltime,Married,Not applicable,815,Not applicable
1977,0,Very happy,Pretty happy,No,Strong democrat,2,White,8,3,2,10,Keeping house,Married,Not applicable,816,Not applicable
1977,17445,Pretty happy,Very happy,Yes,Strong democrat,2,White,10,8,4,8,Retired,Married,Not applicable,817,Not applicable
1977,12077,Very happy,Very happy,Yes,"Ind,near dem",3,White,12,12,1,4,Working fulltime,Married,32,818,Not applicable
1977,57032,Very happy,Pretty happy,Yes,Strong democrat,4,White,12,12,2,3,Keeping house,Married,48,819,Not applicable
1977,24155,Very happy,Very happy,Yes,Not str republican,4,White,12,12,3,4,Working fulltime,Married,60,820,Not applicable
1977,0,Not applicable,Pretty happy,No,Independent,4,White,Not applicable,12,4,1,Not applicable,Widowed,Not applicable,821,Not applicable
1977,30193,Not applicable,Not too happy,Yes,Not str democrat,5,White,Not applicable,12,4,2,Not applicable,Divorced,40,822,Not applicable
1977,20129,Very happy,Very happy,Yes,Strong democrat,2,White,8,9,2,7,Keeping house,Married,50,823,Not applicable
1977,1342,Very happy,Pretty happy,Yes,Not str republican,3,White,11,12,2,3,Working fulltime,Married,6,824,Not applicable
1977,0,Pretty happy,Pretty happy,Yes,Strong democrat,2,White,14,7,2,13,Working parttime,Married,Not applicable,825,Not applicable
1977,0,Not applicable,Pretty happy,No,Not str democrat,1,White,Not applicable,8,1,12,Not applicable,Widowed,Not applicable,826,Not applicable
1977,30193,Pretty happy,Pretty happy,Yes,Not str democrat,2,White,12,12,0,2,Working fulltime,Married,55,827,Not applicable
1977,0,Not applicable,Not too happy,Yes,Strong republican,10,White,Not applicable,11,0,7,Not applicable,Never married,Not applicable,828,Not applicable
1977,5368,Not applicable,Very happy,Yes,Not str democrat,2,White,Not applicable,8,0,1,Not applicable,Never married,Not applicable,829,Not applicable
1977,36903,Not applicable,Not too happy,Not applicable,Independent,1,Black,Not applicable,14,1,5,Not applicable,Separated,Not applicable,830,Not applicable
1977,0,Very happy,Pretty happy,Yes,Not str democrat,3,White,10,10,2,2,Working fulltime,Married,Not applicable,831,Not applicable
1977,0,Not applicable,Not too happy,Yes,Strong republican,1,White,Not applicable,17,0,0,Not applicable,Divorced,Not applicable,832,Not applicable
1977,36903,Not applicable,Not too happy,Yes,"Ind,near dem",1,White,Not applicable,16,0,3,Not applicable,Never married,50,833,Not applicable
1977,0,Very happy,Very happy,No,"Ind,near rep",2,White,16,10,0,7,Working fulltime,Married,5,834,Not applicable
1977,0,Very happy,Very happy,No,Not str republican,4,White,19,16,3,0,Working fulltime,Married,Not applicable,835,Not applicable
1977,0,Very happy,Very happy,Yes,Not str republican,4,White,16,16,3,4,Working fulltime,Married,Not applicable,836,Not applicable
1977,0,Not too happy,Pretty happy,No,Not str republican,2,White,12,16,2,3,Keeping house,Married,Not applicable,837,Not applicable
1977,0,Very happy,Very happy,No,"Ind,near rep",4,White,16,16,2,1,Working fulltime,Married,Not applicable,838,Not applicable
1977,0,Very happy,Very happy,No,"Ind,near rep",3,White,16,12,1,2,Retired,Married,Not applicable,839,Not applicable
1977,0,Not applicable,Pretty happy,No,Not str republican,1,White,Not applicable,8,4,7,Not applicable,Widowed,Not applicable,840,Not applicable
1977,9393,Very happy,Very happy,No,Not str democrat,2,White,12,12,1,4,Working fulltime,Married,Not applicable,841,Not applicable
1977,30193,Very happy,Very happy,No,Strong democrat,3,White,15,10,1,7,Working parttime,Married,40,842,Not applicable
1977,5368,Not applicable,Not too happy,No,Strong democrat,1,White,Not applicable,9,0,2,Not applicable,Never married,21,843,Not applicable
1977,24155,Not applicable,Not too happy,Yes,Not str democrat,1,White,Not applicable,9,1,7,Not applicable,Divorced,40,844,Not applicable
1977,50322,Very happy,Very happy,No,Not str democrat,2,White,12,12,0,0,Keeping house,Married,40,845,Not applicable
1977,1342,Very happy,Very happy,No,Strong democrat,5,White,8,8,1,8,Keeping house,Married,Not applicable,846,Not applicable
1977,0,Very happy,Pretty happy,No,Strong democrat,4,White,12,13,2,1,Working fulltime,Married,Not applicable,847,Not applicable
1977,43612,Pretty happy,Very happy,Yes,Not str democrat,2,White,13,10,2,9,Working fulltime,Married,70,848,Not applicable
1977,1342,Very happy,Pretty happy,Yes,Strong democrat,4,White,11,12,2,2,Temp not working,Married,28,849,Not applicable
1977,43612,Very happy,Very happy,Yes,"Ind,near dem",4,White,18,18,2,2,Keeping house,Married,50,850,Not applicable
1977,0,Very happy,Very happy,Yes,Strong republican,2,White,12,12,4,4,Working fulltime,Married,Not applicable,851,Not applicable
1977,43612,Very happy,Very happy,Yes,Strong democrat,2,White,16,16,0,0,Working fulltime,Married,50,852,Not applicable
1977,207579,Very happy,Very happy,No,Not str democrat,2,White,15,18,2,0,Working parttime,Married,32,853,Not applicable
1977,0,Very happy,Very happy,No,Not str republican,5,White,16,12,7,5,Working fulltime,Married,Not applicable,854,Not applicable
1977,100644,Very happy,Very happy,No,Strong republican,2,White,12,12,1,1,Working fulltime,Married,55,855,Not applicable
1977,0,Very happy,Pretty happy,No,"Ind,near dem",4,White,16,16,2,0,Working fulltime,Married,Not applicable,856,Not applicable
1977,207579,Very happy,Very happy,No,Strong republican,6,White,14,16,4,2,Keeping house,Married,55,857,Not applicable
1977,0,Pretty happy,Not too happy,Not applicable,Strong democrat,4,Black,12,12,3,4,Working fulltime,Married,40,858,Not applicable
1977,0,Not applicable,Very happy,Not applicable,Not str democrat,1,Black,Not applicable,5,0,13,Not applicable,Separated,Not applicable,859,Not applicable
1977,0,Not applicable,Not too happy,Not applicable,Not str democrat,3,Black,Not applicable,9,2,4,Not applicable,Never married,Not applicable,860,Not applicable
1977,24155,Very happy,Not too happy,Yes,Not str democrat,3,White,15,16,1,6,Keeping house,Married,40,861,Not applicable
1977,5368,Very happy,Not too happy,Yes,Independent,5,White,3,7,3,4,Keeping house,Married,48,862,Not applicable
1977,24155,Very happy,Pretty happy,No,Independent,4,White,12,10,2,2,Keeping house,Married,40,863,Not applicable
1977,30193,Very happy,Pretty happy,Yes,Strong democrat,3,White,12,14,1,2,Keeping house,Married,42,864,Not applicable
1977,43612,Very happy,Pretty happy,No,Not str democrat,2,White,12,15,0,2,Working fulltime,Married,37,865,Not applicable
1977,17445,Not applicable,Pretty happy,No,"Ind,near dem",1,White,Not applicable,10,0,5,Not applicable,Never married,Not applicable,866,Not applicable
1977,5368,Not applicable,Pretty happy,No,Not str republican,4,White,Not applicable,14,0,1,Not applicable,Never married,20,867,Not applicable
1977,0,Very happy,Not too happy,Yes,Strong democrat,2,White,12,7,3,8,Keeping house,Married,Not applicable,868,Not applicable
1977,0,Very happy,Pretty happy,No,Not str democrat,2,White,10,15,5,9,Keeping house,Married,Not applicable,869,Not applicable
1977,0,Pretty happy,Pretty happy,No,"Ind,near dem",2,White,12,12,2,1,Working fulltime,Married,Not applicable,870,Not applicable
1977,30193,Not too happy,Pretty happy,Yes,"Ind,near dem",2,White,8,13,1,3,Other,Married,40,871,Not applicable
1977,17445,Pretty happy,Not too happy,Yes,"Ind,near rep",1,White,10,10,1,8,Keeping house,Married,40,872,Not applicable
1977,57032,Not applicable,Very happy,Yes,Independent,1,White,Not applicable,14,2,1,Not applicable,Divorced,Not applicable,873,Not applicable
1977,50322,Very happy,Very happy,Yes,Strong democrat,2,White,20,18,0,3,Working fulltime,Married,25,874,Not applicable
1977,30193,Very happy,Very happy,No,Not str republican,4,White,17,13,2,1,Working fulltime,Married,40,875,Not applicable
1977,63741,Very happy,Very happy,Don't know,Strong democrat,4,White,20,20,2,2,Keeping house,Married,50,876,Not applicable
1977,0,Very happy,Very happy,No,Strong democrat,6,White,15,19,4,1,Keeping house,Married,60,877,Not applicable
1977,100644,Very happy,Very happy,No,Not str republican,4,White,12,16,4,1,Working parttime,Married,45,878,Not applicable
1977,50322,Very happy,Very happy,No,"Ind,near rep",6,White,15,13,4,0,Keeping house,Married,40,879,Not applicable
1977,24155,Very happy,Very happy,Yes,Not str democrat,2,White,13,16,0,2,Working fulltime,Married,40,880,Not applicable
1977,0,Pretty happy,Pretty happy,Yes,Not str republican,7,White,12,12,5,3,Working fulltime,Married,Not applicable,881,Not applicable
1977,43612,Very happy,Pretty happy,No,Not str republican,6,White,13,12,4,0,Keeping house,Married,50,882,Not applicable
1977,0,Not applicable,Very happy,Don't know,Independent,3,White,Not applicable,12,2,2,Not applicable,Divorced,Not applicable,883,Not applicable
1977,100644,Very happy,Pretty happy,No,"Ind,near rep",6,White,12,14,5,2,Keeping house,Married,60,884,Not applicable
1977,0,Very happy,Pretty happy,Don't know,Independent,4,White,8,8,3,9,Retired,Married,Not applicable,885,Not applicable
1977,50322,Not applicable,Pretty happy,No,Strong democrat,1,White,Not applicable,20,0,1,Not applicable,Never married,40,886,Not applicable
1977,0,Very happy,Very happy,No answer,Not str democrat,4,White,12,12,3,10,Working fulltime,Married,Not applicable,887,Not applicable
1977,0,Pretty happy,Pretty happy,No,Strong republican,5,White,12,12,3,3,Working fulltime,Married,Not applicable,888,Not applicable
1977,24155,Very happy,Pretty happy,No,Not str democrat,3,White,12,12,1,3,Working fulltime,Married,42,889,Not applicable
1977,36903,Very happy,Pretty happy,No,"Ind,near rep",4,White,12,11,1,2,Working fulltime,Married,47,890,Not applicable
1977,43612,Very happy,Very happy,No,"Ind,near dem",4,White,19,19,2,1,Working fulltime,Married,45,891,Not applicable
1977,30193,Very happy,Pretty happy,No,Strong democrat,5,White,12,11,4,3,Working fulltime,Married,Not applicable,892,Not applicable
1977,1342,Very happy,Pretty happy,Yes,"Ind,near dem",6,White,16,16,4,3,Working fulltime,Married,14,893,Not applicable
1977,63741,Very happy,Very happy,Yes,"Ind,near dem",3,White,16,18,1,2,Keeping house,Married,40,894,Not applicable
1977,24155,Not applicable,Pretty happy,No,Independent,4,White,Not applicable,13,0,5,Not applicable,Never married,Not applicable,895,Not applicable
1977,9393,Not applicable,Pretty happy,No,Independent,3,White,Not applicable,12,0,1,Not applicable,Never married,40,896,Not applicable
1977,36903,Pretty happy,Pretty happy,Yes,"Ind,near rep",2,White,16,13,0,6,Working fulltime,Married,Not applicable,897,Not applicable
1977,1342,Very happy,Very happy,No,Not str republican,2,White,16,15,0,1,Working fulltime,Married,9,898,Not applicable
1977,30193,Not applicable,Pretty happy,Yes,Not str democrat,2,White,Not applicable,12,0,2,Not applicable,Divorced,40,899,Not applicable
1977,0,Not applicable,Pretty happy,Not applicable,Not str democrat,2,Black,Not applicable,16,1,4,Not applicable,Divorced,25,900,Not applicable
1977,14761,Not applicable,Pretty happy,Not applicable,"Ind,near dem",3,Black,Not applicable,15,0,0,Not applicable,Never married,40,901,Not applicable
1977,100644,Very happy,Very happy,Not applicable,"Ind,near rep",5,Black,18,19,3,13,Working fulltime,Married,40,902,Not applicable
1977,50322,Very happy,Very happy,Not applicable,"Ind,near dem",3,Black,12,12,1,6,Working fulltime,Married,40,903,Not applicable
1977,0,Not applicable,Not too happy,Not applicable,Independent,2,Black,Not applicable,10,1,4,Not applicable,Never married,Not applicable,904,Not applicable
1977,43612,Very happy,Very happy,Not applicable,Strong democrat,2,Black,12,12,0,5,Keeping house,Married,40,905,Not applicable
1977,0,Very happy,Very happy,No,Not str republican,4,White,12,12,2,3,Keeping house,Married,89,906,Not applicable
1977,43612,Very happy,Very happy,No,Strong democrat,2,White,12,8,1,1,Keeping house,Married,20,907,Not applicable
1977,17445,Not too happy,Not too happy,No,Not str republican,3,White,12,11,1,3,Working fulltime,Married,Not applicable,908,Not applicable
1977,17445,Very happy,Pretty happy,No,"Ind,near dem",2,White,11,6,0,7,"Unempl, laid off",Married,40,909,Not applicable
1977,57032,Not applicable,Pretty happy,Yes,"Ind,near rep",2,White,Not applicable,16,0,6,Not applicable,Never married,45,910,Not applicable
1977,43612,Not applicable,Pretty happy,Don't know,"Ind,near dem",1,White,Not applicable,17,0,1,Not applicable,Never married,60,911,Not applicable
1977,1342,Pretty happy,Very happy,Yes,"Ind,near dem",2,White,16,12,2,7,Temp not working,Married,40,912,Not applicable
1977,36903,Very happy,Pretty happy,No,Not str democrat,8,White,12,11,6,8,Working parttime,Married,40,913,Not applicable
1977,24155,Not applicable,Pretty happy,No,Not str democrat,2,White,Not applicable,12,0,2,Not applicable,Never married,40,914,Not applicable
1977,0,Not applicable,Not too happy,Yes,Not str democrat,1,White,Not applicable,12,3,8,Not applicable,Widowed,Not applicable,915,Not applicable
1977,36903,Not applicable,Not too happy,Yes,Not str republican,4,White,Not applicable,12,3,11,Not applicable,Widowed,40,916,Not applicable
1977,5368,Very happy,Pretty happy,No,"Ind,near dem",4,White,12,12,3,2,Working fulltime,Married,30,917,Not applicable
1977,20129,Pretty happy,Pretty happy,No,Independent,2,White,12,12,0,2,Working fulltime,Married,50,918,Not applicable
1977,63741,Not applicable,Very happy,Yes,"Ind,near rep",1,White,Not applicable,20,0,3,Not applicable,Never married,40,919,Not applicable
1977,0,Pretty happy,Pretty happy,Yes,Not str republican,3,White,14,12,4,2,Working fulltime,Married,Not applicable,920,Not applicable
1977,14761,Very happy,Very happy,No,Not str republican,5,White,16,16,3,2,Working fulltime,Married,16,921,Not applicable
1977,100644,Very happy,Pretty happy,Yes,"Ind,near dem",2,White,12,11,3,8,Keeping house,Married,65,922,Not applicable
1977,63741,Very happy,Very happy,No,Strong democrat,2,White,12,12,0,1,Keeping house,Married,56,923,Not applicable
1977,0,Pretty happy,Pretty happy,No,Strong republican,5,White,9,12,4,13,Working fulltime,Married,Not applicable,924,Not applicable
1977,5368,Very happy,Pretty happy,Yes,Not str democrat,3,White,11,11,2,7,Working fulltime,Married,Not applicable,925,Not applicable
1977,20129,Pretty happy,Pretty happy,Yes,Not str democrat,6,White,12,12,4,3,Keeping house,Married,60,926,Not applicable
1977,12077,Very happy,Pretty happy,No,Independent,4,White,12,12,2,6,Keeping house,Married,55,927,Not applicable
1977,14761,Pretty happy,Pretty happy,No,Not str democrat,5,White,12,12,3,0,Working fulltime,Married,Not applicable,928,Not applicable
1977,14761,Not applicable,Pretty happy,No,Independent,6,White,Not applicable,12,0,9,Not applicable,Never married,42,929,Not applicable
1977,0,Very happy,Pretty happy,No,"Ind,near rep",3,White,8,8,7,6,Keeping house,Married,Not applicable,930,Not applicable
1977,0,Pretty happy,Pretty happy,No,Strong republican,4,Other,12,9,5,8,Retired,Married,Not applicable,931,Not applicable
1977,36903,Very happy,Very happy,Yes,"Ind,near dem",3,White,12,12,2,2,Keeping house,Married,47,932,Not applicable
1977,24155,Not applicable,Pretty happy,No,Not str democrat,3,White,Not applicable,12,0,4,Not applicable,Never married,40,933,Not applicable
1977,0,Not applicable,Pretty happy,Don't know,Not str democrat,5,White,Not applicable,12,4,4,Not applicable,Divorced,Not applicable,934,Not applicable
1977,36903,Pretty happy,Pretty happy,No,Not str republican,7,White,10,15,5,2,Working fulltime,Married,40,935,Not applicable
1977,50322,Not applicable,Very happy,Yes,"Ind,near rep",1,White,Not applicable,12,0,3,Not applicable,Never married,40,936,Not applicable
1977,0,Not applicable,Not too happy,No,"Ind,near rep",1,White,Not applicable,16,1,1,Not applicable,Never married,Not applicable,937,Not applicable
1977,50322,Pretty happy,Very happy,No,"Ind,near dem",4,White,12,16,2,1,Working fulltime,Married,50,938,Not applicable
1977,0,Very happy,Very happy,No,Not str democrat,3,White,12,12,1,4,Working fulltime,Married,32,939,Not applicable
1977,0,Very happy,Very happy,No,Strong republican,4,White,12,12,2,3,Working fulltime,Married,Not applicable,940,Not applicable
1977,63741,Pretty happy,Pretty happy,No,Strong republican,6,White,12,16,4,1,Keeping house,Married,64,941,Not applicable
1977,207579,Very happy,Very happy,No,"Ind,near rep",2,White,14,12,0,8,Keeping house,Married,80,942,Not applicable
1977,36903,Very happy,Very happy,No,Strong democrat,6,White,12,7,7,7,Working fulltime,Married,48,943,Not applicable
1977,43612,Pretty happy,Pretty happy,No,Not str democrat,6,White,11,8,6,7,Keeping house,Married,56,944,Not applicable
1977,36903,Very happy,Very happy,No,"Ind,near rep",5,White,12,12,2,2,Keeping house,Married,50,945,Not applicable
1977,0,Pretty happy,Not too happy,No,"Ind,near rep",4,White,10,11,1,0,Temp not working,Married,Not applicable,946,Not applicable
1977,0,Not applicable,Pretty happy,Don't know,Not str democrat,1,White,Not applicable,9,0,4,Not applicable,Never married,Not applicable,947,Not applicable
1977,30193,Not too happy,Not too happy,Yes,Strong democrat,8,White,12,8,6,5,Keeping house,Married,Not applicable,948,Not applicable
1977,43612,Not applicable,Pretty happy,Yes,"Ind,near dem",2,White,Not applicable,12,3,3,Not applicable,Divorced,37,949,Not applicable
1977,24155,Not too happy,Pretty happy,Yes,"Ind,near rep",3,White,8,8,1,2,Working parttime,Married,40,950,Not applicable
1977,14761,Not applicable,Not too happy,Yes,"Ind,near dem",4,White,Not applicable,8,3,7,Not applicable,Separated,Not applicable,951,Not applicable
1977,0,Not applicable,Not too happy,Yes,Not str democrat,1,White,Not applicable,8,0,8,Not applicable,Widowed,Not applicable,952,Not applicable
1977,0,Pretty happy,Pretty happy,Yes,Not str democrat,2,White,6,10,5,0,Keeping house,Married,Not applicable,953,Not applicable
1977,43612,Pretty happy,Pretty happy,No,Not str democrat,2,White,10,9,4,8,Working fulltime,Married,40,954,Not applicable
1977,17445,Not applicable,Pretty happy,No,Not str republican,2,White,Not applicable,12,4,3,Not applicable,Divorced,40,955,Not applicable
1977,0,Not applicable,Pretty happy,No,Strong democrat,1,White,Not applicable,8,5,6,Not applicable,Widowed,Not applicable,956,Not applicable
1977,100644,Very happy,Pretty happy,Yes,Strong republican,6,White,16,17,4,2,Keeping house,Married,55,957,Not applicable
1977,0,Very happy,Very happy,Yes,Strong republican,4,White,17,16,4,5,Keeping house,Married,Not applicable,958,Not applicable
1977,36903,Very happy,Very happy,Not applicable,Independent,4,Black,16,18,2,2,Working fulltime,Married,40,959,Not applicable
1977,20129,Pretty happy,Pretty happy,No,Not str republican,5,White,16,16,6,2,Working fulltime,Married,24,960,Not applicable
1977,50322,Very happy,Very happy,Yes,Strong democrat,4,White,14,20,2,0,Working fulltime,Married,50,961,Not applicable
1977,0,Very happy,Very happy,No,Strong republican,2,White,16,16,4,2,Working fulltime,Married,Not applicable,962,Not applicable
1977,1342,Very happy,Very happy,Not applicable,Strong democrat,5,Black,12,14,3,11,Temp not working,Married,40,963,Not applicable
1977,0,Very happy,Very happy,No,"Ind,near dem",4,White,17,16,2,3,Working fulltime,Married,Not applicable,964,Not applicable
1977,30193,Pretty happy,Pretty happy,No,Not str republican,4,White,11,12,2,6,Working fulltime,Married,40,965,Not applicable
1977,36903,Very happy,Very happy,No,Strong democrat,2,White,8,13,2,2,Keeping house,Married,40,966,Not applicable
1977,24155,Not applicable,Not too happy,No,Strong democrat,2,White,Not applicable,8,Eight or more,6,Not applicable,Widowed,60,967,Not applicable
1977,30193,Very happy,Pretty happy,No,Not str democrat,3,White,Don't know,11,2,6,Working fulltime,Married,40,968,Not applicable
1977,0,Not applicable,Pretty happy,No,Not str democrat,1,White,Not applicable,12,6,0,Not applicable,Separated,Not applicable,969,Not applicable
1977,50322,Very happy,Very happy,Yes,"Ind,near dem",5,White,12,16,3,4,Keeping house,Married,55,970,Not applicable
1977,100644,Very happy,Pretty happy,Yes,Not str republican,3,White,12,16,4,3,Working parttime,Married,55,971,Not applicable
1977,9393,Not applicable,Pretty happy,Yes,"Ind,near dem",3,White,Not applicable,12,2,4,Not applicable,Divorced,25,972,Not applicable
1977,30193,Not applicable,Pretty happy,Yes,"Ind,near rep",2,White,Not applicable,13,3,0,Not applicable,Divorced,60,973,Not applicable
1977,30193,Very happy,Very happy,Yes,Not str republican,2,White,9,13,4,3,Retired,Married,40,974,Not applicable
1977,207579,Not too happy,Not too happy,No,Not str republican,1,Other,15,19,1,8,Keeping house,Married,30,975,Not applicable
1977,63741,Not applicable,Pretty happy,Yes,Not str republican,1,White,Not applicable,16,2,4,Not applicable,Separated,48,976,Not applicable
1977,20129,Pretty happy,Pretty happy,Yes,Not str republican,6,White,12,11,4,4,Working fulltime,Married,32,977,Not applicable
1977,0,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,12,1,1,Not applicable,Widowed,Not applicable,978,Not applicable
1977,0,Not applicable,Very happy,No,Strong democrat,3,White,Not applicable,10,1,2,Not applicable,Widowed,Not applicable,979,Not applicable
1977,5368,Not applicable,Pretty happy,No,Not str republican,1,White,Not applicable,12,4,0,Not applicable,Widowed,Not applicable,980,Not applicable
1977,36903,Pretty happy,Pretty happy,No,Not str republican,5,White,14,18,3,6,Working fulltime,Married,40,981,Not applicable
1977,0,Very happy,Very happy,No,"Ind,near rep",2,White,12,16,3,3,Keeping house,Married,Not applicable,982,Not applicable
1977,30193,Pretty happy,Pretty happy,No,Not str democrat,3,White,16,14,1,2,Working fulltime,Married,40,983,Not applicable
1977,5368,Not applicable,Not too happy,No,Not str democrat,1,White,Not applicable,10,0,11,Not applicable,Widowed,25,984,Not applicable
1977,0,Very happy,Very happy,No,"Ind,near dem",2,White,12,9,2,5,Retired,Married,Not applicable,985,Not applicable
1977,43612,Pretty happy,Pretty happy,No,Not str democrat,5,White,12,12,3,2,Keeping house,Married,30,986,Not applicable
1977,9393,Very happy,Very happy,No,Strong republican,4,White,12,12,2,4,Working fulltime,Married,10,987,Not applicable
1977,36903,Very happy,Very happy,No,"Ind,near dem",4,White,17,16,3,10,Working fulltime,Married,40,988,Not applicable
1977,0,Not applicable,Pretty happy,Yes,Independent,1,White,Not applicable,7,1,6,Not applicable,Separated,Not applicable,989,Not applicable
1977,30193,Not applicable,Not too happy,Not applicable,Not str democrat,4,Black,Not applicable,14,3,6,Not applicable,Divorced,46,990,Not applicable
1977,0,Very happy,Very happy,Not applicable,Strong democrat,5,Black,9,12,4,8,Working fulltime,Married,Not applicable,991,Not applicable
1977,0,Very happy,Pretty happy,Not applicable,Strong democrat,6,Black,12,12,4,10,Working fulltime,Married,Not applicable,992,Not applicable
1977,43612,Not applicable,Pretty happy,Yes,"Ind,near rep",3,White,Not applicable,16,0,1,Not applicable,Never married,35,993,Not applicable
1977,0,Not applicable,Very happy,Not applicable,Strong democrat,3,Black,Not applicable,4,5,7,Not applicable,Widowed,Not applicable,994,Not applicable
1977,0,Not applicable,Pretty happy,Yes,Not str republican,1,White,Not applicable,13,0,6,Not applicable,Never married,Not applicable,995,Not applicable
1977,30193,Not applicable,Not too happy,Not applicable,Independent,1,Black,Not applicable,11,2,9,Not applicable,Separated,Not applicable,996,Not applicable
1977,0,Not applicable,Pretty happy,Yes,Not str democrat,5,White,Not applicable,11,1,3,Not applicable,Never married,Not applicable,997,Not applicable
1977,0,Pretty happy,Pretty happy,Yes,"Ind,near dem",2,White,12,12,0,1,Working fulltime,Married,Not applicable,998,Not applicable
1977,1342,Pretty happy,Very happy,Not applicable,Strong democrat,3,Black,10,11,4,8,Working fulltime,Married,40,999,Not applicable
1977,24155,Not applicable,Very happy,Yes,Independent,1,White,Not applicable,19,0,2,Not applicable,Never married,30,1000,Not applicable
1977,9393,Not applicable,Very happy,Not applicable,"Ind,near dem",4,Black,Not applicable,12,2,4,Not applicable,Widowed,20,1001,Not applicable
1977,50322,Not applicable,Pretty happy,Yes,Independent,2,White,Not applicable,12,0,1,Not applicable,Never married,40,1002,Not applicable
1977,43612,Not applicable,No answer,Yes,Strong republican,1,White,Not applicable,17,6,2,Not applicable,Divorced,40,1003,Not applicable
1977,0,Pretty happy,Pretty happy,Yes,Strong republican,4,White,14,16,3,2,Working fulltime,Married,40,1004,Not applicable
1977,0,Very happy,Very happy,No,Strong democrat,3,White,14,12,3,5,Working fulltime,Married,Not applicable,1005,Not applicable
1977,12077,Very happy,Very happy,Don't know,"Ind,near dem",3,White,16,13,1,2,Working fulltime,Married,Not applicable,1006,Not applicable
1977,9393,Very happy,Pretty happy,Don't know,Strong republican,3,White,20,20,1,2,Keeping house,Married,40,1007,Not applicable
1977,36903,Very happy,Very happy,Yes,Not str democrat,2,White,18,13,0,1,School,Married,43,1008,Not applicable
1977,50322,Very happy,Very happy,No,Not str republican,2,White,12,11,2,4,Working fulltime,Married,Not applicable,1009,Not applicable
1977,30193,Very happy,Very happy,Yes,"Ind,near rep",4,White,12,12,2,2,Working fulltime,Married,40,1010,Not applicable
1977,30193,Pretty happy,Pretty happy,Yes,"Ind,near rep",2,White,16,16,0,3,Working fulltime,Married,70,1011,Not applicable
1977,100644,Not applicable,Not too happy,Yes,"Ind,near dem",3,White,Not applicable,19,3,4,Not applicable,Widowed,44,1012,Not applicable
1977,24155,Not applicable,Pretty happy,Yes,"Ind,near rep",2,White,Not applicable,12,0,1,Not applicable,Never married,40,1013,Not applicable
1977,43612,Very happy,Pretty happy,No,Independent,2,White,18,10,2,1,Working fulltime,Married,40,1014,Not applicable
1977,1342,Very happy,Pretty happy,Yes,Not str republican,4,White,16,12,2,2,Working fulltime,Married,12,1015,Not applicable
1977,43612,Very happy,Very happy,Yes,Not str republican,4,White,9,15,5,1,Keeping house,Married,40,1016,Not applicable
1977,100644,Not applicable,Very happy,Yes,Not str republican,3,White,Not applicable,18,2,1,Not applicable,Divorced,40,1017,Not applicable
1977,36903,Very happy,Very happy,Yes,Independent,3,White,12,13,1,2,Keeping house,Married,44,1018,Not applicable
1977,0,Pretty happy,Pretty happy,No,Not str democrat,2,White,11,10,2,1,Working fulltime,Married,Not applicable,1019,Not applicable
1977,57032,Not applicable,Very happy,Yes,Strong republican,3,White,Not applicable,12,6,10,Not applicable,Widowed,40,1020,Not applicable
1977,207579,Pretty happy,Very happy,Not applicable,Independent,6,Black,8,3,Eight or more,5,Working fulltime,Married,40,1021,Not applicable
1977,36903,Not applicable,Pretty happy,Not applicable,"Ind,near dem",1,Black,Not applicable,15,0,4,Not applicable,Never married,73,1022,Not applicable
1977,1342,Not applicable,Very happy,Not applicable,"Ind,near dem",1,Black,Not applicable,3,Eight or more,9,Not applicable,Separated,40,1023,Not applicable
1977,36903,Very happy,Very happy,Not applicable,Strong democrat,2,Black,12,11,3,9,Working fulltime,Married,40,1024,Not applicable
